,base_market,quote_market,hedge_ratio,half_life
0,ALGO-USD,XTZ-USD,0.17722987962932504,9.0
1,ALGO-USD,ZRX-USD,0.5568334945651057,14.0
2,ALGO-USD,DOT-USD,0.025489447653088634,8.0
3,ALGO-USD,ETC-USD,0.007296274642371903,10.0
4,LINK-USD,UMA-USD,4.6795505511607995,6.0
5,MATIC-USD,XMR-USD,0.007704267731184529,19.0
6,MATIC-USD,ZRX-USD,2.6781393522063888,21.0
7,MATIC-USD,ZEC-USD,0.03575621302864805,23.0
8,XTZ-USD,ETC-USD,0.04115714489672929,11.0
9,YFI-USD,1INCH-USD,16730.39403840208,7.0
10,YFI-USD,CRV-USD,13810.111987447155,11.0
11,YFI-USD,ZEC-USD,295.72807438750726,8.0
12,AAVE-USD,XMR-USD,0.7759872125832947,8.0
13,XLM-USD,ZRX-USD,0.32375318290989774,7.0
14,XLM-USD,DOT-USD,0.014815017650141881,12.0
15,AVAX-USD,UMA-USD,9.564128610991506,10.0
16,XMR-USD,ATOM-USD,12.004524115979187,12.0
17,XMR-USD,ZRX-USD,347.30557747950655,9.0
18,XMR-USD,ETH-USD,0.04150063593015948,9.0
19,NEAR-USD,CRV-USD,6.2287431897243035,24.0
20,1INCH-USD,ZEC-USD,0.017667174772185046,8.0
21,ZRX-USD,DOT-USD,0.04574102995186803,16.0
22,ZRX-USD,CRV-USD,0.6233480641765808,20.0
23,ZRX-USD,ZEC-USD,0.013349941370669501,10.0
24,ZRX-USD,BTC-USD,6.710979863635357e-06,21.0
25,DOT-USD,ETC-USD,0.28618308105264073,11.0
26,CRV-USD,ZEC-USD,0.021398897605919138,8.0
